# wheel sector station super_layer layer wire local_x local_y local_z global_x global_y global_z phi eta length
-2 1 1 1 2 3 -96.1000 0.0000 12.4000 418.7750 -56.9800 -533.3500 -0.1352 -1.0550 234.8000
-2 1 1 1 2 4 -91.9000 0.0000 12.4000 418.7750 -52.7800 -533.3500 -0.1254 -1.0561 234.8000
-2 1 1 1 2 5 -87.7000 0.0000 12.4000 418.7750 -48.5800 -533.3500 -0.1155 -1.0570 234.8000
-2 1 1 1 2 6 -83.5000 0.0000 12.4000 418.7750 -44.3800 -533.3500 -0.1056 -1.0579 234.8000
-2 1 1 1 2 7 -79.3000 0.0000 12.4000 418.7750 -40.1800 -533.3500 -0.0957 -1.0586 234.8000
-2 1 1 1 2 8 -75.1000 0.0000 12.4000 418.7750 -35.9800 -533.3500 -0.0857 -1.0594 234.8000
-2 1 1 1 2 9 -70.9000 0.0000 12.4000 418.7750 -31.7800 -533.3500 -0.0757 -1.0600 234.8000
-2 1 1 1 2 10 -66.7000 0.0000 12.4000 418.7750 -27.5800 -533.3500 -0.0658 -1.0605 234.8000
-2 1 1 1 2 11 -62.5000 0.0000 12.4000 418.7750 -23.3800 -533.3500 -0.0558 -1.0610 234.8000
-2 1 1 1 2 12 -58.3000 0.0000 12.4000 418.7750 -19.1800 -533.3500 -0.0458 -1.0614 234.8000
-2 1 1 1 2 13 -54.1000 0.0000 12.4000 418.7750 -14.9800 -533.3500 -0.0358 -1.0617 234.8000
-2 1 1 1 2 14 -49.9000 0.0000 12.4000 418.7750 -10.7800 -533.3500 -0.0257 -1.0620 234.8000
-2 1 1 1 2 15 -45.7000 0.0000 12.4000 418.7750 -6.5800 -533.3500 -0.0157 -1.0622 234.8000
-2 1 1 1 2 16 -41.5000 0.0000 12.4000 418.7750 -2.3800 -533.3500 -0.0057 -1.0622 234.8000
-2 1 1 1 2 17 -37.3000 0.0000 12.4000 418.7750 1.8200 -533.3500 0.0043 -1.0622 234.8000
-2 1 1 1 2 18 -33.1000 0.0000 12.4000 418.7750 6.0200 -533.3500 0.0144 -1.0622 234.8000
-2 1 1 1 2 19 -28.9000 0.0000 12.4000 418.7750 10.2200 -533.3500 0.0244 -1.0620 234.8000
-2 1 1 1 2 20 -24.7000 0.0000 12.4000 418.7750 14.4200 -533.3500 0.0344 -1.0618 234.8000
-2 1 1 1 2 21 -20.5000 0.0000 12.4000 418.7750 18.6200 -533.3500 0.0444 -1.0615 234.8000
-2 1 1 1 2 22 -16.3000 0.0000 12.4000 418.7750 22.8200 -533.3500 0.0544 -1.0611 234.8000
-2 1 1 1 2 23 -12.1000 0.0000 12.4000 418.7750 27.0200 -533.3500 0.0644 -1.0606 234.8000
-2 1 1 1 2 24 -7.9000 0.0000 12.4000 418.7750 31.2200 -533.3500 0.0744 -1.0601 234.8000
-2 1 1 1 2 25 -3.7000 0.0000 12.4000 418.7750 35.4200 -533.3500 0.0844 -1.0594 234.8000
-2 1 1 1 2 26 0.5000 0.0000 12.4000 418.7750 39.6200 -533.3500 0.0943 -1.0587 234.8000
-2 1 1 1 2 27 4.7000 0.0000 12.4000 418.7750 43.8200 -533.3500 0.1043 -1.0580 234.8000
-2 1 1 1 2 28 8.9000 0.0000 12.4000 418.7750 48.0200 -533.3500 0.1142 -1.0571 234.8000
-2 1 1 1 2 29 13.1000 0.0000 12.4000 418.7750 52.2200 -533.3500 0.1241 -1.0562 234.8000
-2 1 1 1 2 30 17.3000 0.0000 12.4000 418.7750 56.4200 -533.3500 0.1339 -1.0552 234.8000
-2 1 1 1 2 31 21.5000 0.0000 12.4000 418.7750 60.6200 -533.3500 0.1438 -1.0541 234.8000
-2 1 1 1 2 32 25.7000 0.0000 12.4000 418.7750 64.8200 -533.3500 0.1536 -1.0530 234.8000
-2 1 1 1 2 33 29.9000 0.0000 12.4000 418.7750 69.0200 -533.3500 0.1633 -1.0517 234.8000
-2 1 1 1 2 34 34.1000 0.0000 12.4000 418.7750 73.2200 -533.3500 0.1731 -1.0504 234.8000
-2 1 1 1 2 35 38.3000 0.0000 12.4000 418.7750 77.4200 -533.3500 0.1828 -1.0491 234.8000
-2 1 1 1 2 36 42.5000 0.0000 12.4000 418.7750 81.6200 -533.3500 0.1925 -1.0476 234.8000
-2 1 1 1 2 37 46.7000 0.0000 12.4000 418.7750 85.8200 -533.3500 0.2021 -1.0461 234.8000
-2 1 1 1 2 38 50.9000 0.0000 12.4000 418.7750 90.0200 -533.3500 0.2117 -1.0446 234.8000
-2 1 1 1 2 39 55.1000 0.0000 12.4000 418.7750 94.2200 -533.3500 0.2213 -1.0429 234.8000
-2 1 1 1 2 40 59.3000 0.0000 12.4000 418.7750 98.4200 -533.3500 0.2308 -1.0412 234.8000
-2 1 1 1 2 41 63.5000 0.0000 12.4000 418.7750 102.6200 -533.3500 0.2403 -1.0394 234.8000
-2 1 1 1 2 42 67.7000 0.0000 12.4000 418.7750 106.8200 -533.3500 0.2498 -1.0376 234.8000
-2 1 1 1 2 43 71.9000 0.0000 12.4000 418.7750 111.0200 -533.3500 0.2591 -1.0357 234.8000
-2 1 1 1 2 44 76.1000 0.0000 12.4000 418.7750 115.2200 -533.3500 0.2685 -1.0338 234.8000
-2 1 1 1 2 45 80.3000 0.0000 12.4000 418.7750 119.4200 -533.3500 0.2778 -1.0317 234.8000
-2 1 1 1 2 46 84.5000 0.0000 12.4000 418.7750 123.6200 -533.3500 0.2870 -1.0297 234.8000
-2 1 1 1 2 47 88.7000 0.0000 12.4000 418.7750 127.8200 -533.3500 0.2962 -1.0275 234.8000
-2 1 1 1 2 48 92.9000 0.0000 12.4000 418.7750 132.0200 -533.3500 0.3054 -1.0253 234.8000
-2 1 1 1 2 49 97.1000 0.0000 12.4000 418.7750 136.2200 -533.3500 0.3145 -1.0231 234.8000
-2 1 1 1 2 50 101.3000 0.0000 12.4000 418.7750 140.4200 -533.3500 0.3235 -1.0208 234.8000
-2 1 1 1 3 1 -102.4000 0.0000 11.1000 420.0750 -63.2800 -533.3500 -0.1495 -1.0510 234.8000
-2 1 1 1 3 2 -98.2000 0.0000 11.1000 420.0750 -59.0800 -533.3500 -0.1397 -1.0521 234.8000
-2 1 1 1 3 3 -94.0000 0.0000 11.1000 420.0750 -54.8800 -533.3500 -0.1299 -1.0532 234.8000
-2 1 1 1 3 4 -89.8000 0.0000 11.1000 420.0750 -50.6800 -533.3500 -0.1201 -1.0541 234.8000
-2 1 1 1 3 5 -85.6000 0.0000 11.1000 420.0750 -46.4800 -533.3500 -0.1102 -1.0550 234.8000
